																		
NO	AC	FLIGHT N0	ROUTE	STD	STA	BLOCK	TAT	FREQ	FROM	TO								
20	23-A321	VJ212	SGN-VII	9:05	10:55	1:50	0:25	1234567	31/Mar	26/Oct								
20	23-A321	VJ713	VII-DLI	11:20	12:55	1:35	0:25	1234567	31/Mar	26/Oct								
20	23-A321	VJ712	DLI-VII	13:20	14:55	1:35	0:40	1234567	31/Mar	26/Oct								
20	23-A321	VJ741	VII-BMV	14:50	16:15	1:25	0:25	1234567	31/Mar	26/Oct								
20	23-A321	VJ740	BMV-VII	16:40	18:05	1:25	0:25	1234567	31/Mar	26/Oct								
20	23-A321	VJ221	VII-SGN	18:30	20:20	1:50	0:30	1234567	31/Mar	26/Oct								
20	23-A321	VJ220	SGN-VII	20:50	22:40	1:50	0:25	1234567	31/Mar	26/Oct								
20	23-A321	VJ1223	VII-SGN	23:05	0:55	1:50	0:35	1234567	31/Mar	26/Oct								
																		
																		
21	24-A321	VJ864	SGN-ICN	22:40	5:45	5:05	1:00	1234567	31/Mar	26/Oct								
21	24-A321	VJ865	ICN-SGN	6:45	9:55	5:15	0:30	1234567	31/Mar	26/Oct								
21	24-A321	VJ803	SGN-BKK	11:15	12:45	1:30	1:05	1234567	31/Mar	26/Oct								
21	24-A321	VJ804	BKK-SGN	13:50	15:20	1:30	0:40	1234567	31/Mar	26/Oct								
21	24-A321	VJ398	SGN-PXU	16:00	17:10	1:10	0:25	1234567	31/Mar	26/Oct								
21	24-A321	VJ399	PXU-SGN	17:35	18:45	1:10	0:30	1234567	31/Mar	26/Oct								
																		
																		
22	25-A321	VJ380	SGN-UIH	6:50	8:00	1:10	0:25	1234567	31/Mar	26/Oct								
22	25-A321	VJ381	UIH-SGN	8:25	9:30	1:05	0:30	1234567	31/Mar	26/Oct								
22	25-A321	VJ170	SGN-HAN	10:00	12:10	2:10	0:30	1234567	31/Mar	26/Oct								
22	25-A321	VJ171	HAN-SGN	12:40	14:50	2:10	0:40	1234567	31/Mar	26/Oct								
22	25-A321	VJ358	SGN-BMV	15:30	16:30	1:00	0:25	1234567	31/Mar	26/Oct								
22	25-A321	VJ359	BMV-SGN	16:55	17:55	1:00	0:30	1234567	31/Mar	26/Oct								
22	25-A321	VJ3930	SGN-TFU	22:20	2:00	3:40	1:00	1234567	31/Mar	26/Oct								
22	25-A321	VJ3931	TFU-SGN	3:00	4:50	1:50	0:30	1234567	1/Apr	26/Oct								
																		
																		
23	26-A321	VJ828	SGN-KIX	1:00	8:30	5:30	1:00	1234567	31/Mar	26/Oct								
23	26-A321	VJ829	KIX-SGN	9:30	13:00	5:30	0:40	1234567	31/Mar	26/Oct								
23	26-A321	VJ246	SGN-THD	13:40	15:40	2:00	0:25	1234567	31/Mar	26/Oct								
23	26-A321	VJ247	THD-SGN	16:05	18:05	2:00	0:30	1234567	31/Mar	26/Oct								
																		
																		
24	27-A321	VJ855	SGN-CGK	9:25	12:30	3:00	1:00	1234567	31/Mar	26/Oct								
24	27-A321	VJ854	CGK-SGN	13:30	16:40	3:00	0:30	1234567	31/Mar	26/Oct								
24	27-A321	VJ805	SGN-BKK	17:15	18:45	1:30	1:10	1234567	31/Mar	26/Oct								
24	27-A321	VJ806	BKK-SGN	19:55	21:25	1:30	0:30	1234567	31/Mar	26/Oct								
																		
																		
25	28-A321	VJ852	SGN-RMQ	7:30	11:50	3:20	1:00	135	31/Mar	26/Oct								
25	28-A321	VJ853	RMQ-SGN	12:50	15:20	3:30	0:30	135	31/Mar	26/Oct								
25	28-A321	VJ886	SGN-KHH	7:30	11:40	3:10	1:00	2467	31/Mar	26/Oct								
25	28-A321	VJ885	KHH-SGN	12:40	14:50	3:10	0:30	2467	31/Mar	26/Oct								
25	28-A321	VJ820	SGN-HND	16:30	1:00	5:45	1:00	1234567	31/Mar	26/Oct								
25	28-A321	VJ821	HND-SGN	2:00	6:10	6:00	0:30	1234567	31/Mar	26/Oct								
																		
																		
26	29-A321	VJ1287	HPH-SGN	5:30	7:30	2:00	0:35	1234567	31/Mar	26/Oct								
26	29-A321	VJ801	SGN-BKK	8:35	10:05	1:30	1:25	1234567	31/Mar	26/Oct								
26	29-A321	VJ802	BKK-SGN	11:30	13:00	1:30	0:40	1234567	31/Mar	26/Oct								
26	29-A321	VJ604	SGN-CXR	13:40	14:50	1:10	0:25	1234567	31/Mar	26/Oct								
26	29-A321	VJ605	CXR-SGN	15:15	16:20	1:05	0:30	1234567	31/Mar	26/Oct								
26	29-A321	VJ150	SGN-HAN	16:50	19:00	2:10	0:30	1234567	31/Mar	26/Oct								
26	29-A321	VJ159	HAN-SGN	19:30	21:40	2:10	0:30	1234567	31/Mar	26/Oct								
26	29-A321	VJ1286	SGN-HPH	22:10	0:10	2:00	0:25	1234567	31/Mar	26/Oct								
																		
																		
27	30-A321	VJ121	HAN-SGN	6:00	8:10	2:10	0:30	1234567	31/Mar	26/Oct								
27	30-A321	VJ126	SGN-HAN	8:40	10:50	2:10	0:30	1234567	31/Mar	26/Oct								
27	30-A321	VJ507	HAN-DAD	11:20	12:40	1:20	0:25	1234567	31/Mar	26/Oct								
27	30-A321	VJ516	DAD-HAN	13:05	14:25	1:20	0:30	1234567	31/Mar	26/Oct								
27	30-A321	VJ145	HAN-SGN	15:05	17:15	2:10	0:40	1234567	31/Mar	26/Oct								
27	30-A321	VJ308	SGN-HUI	17:45	19:10	1:25	0:25	1234567	31/Mar	26/Oct								
27	30-A321	VJ309	HUI-SGN	19:35	21:00	1:25	0:30	1234567	31/Mar	26/Oct								
27	30-A321	VJ162	SGN-HAN	21:30	23:40	2:10	0:30	1234567	31/Mar	26/Oct								
NEW	30-A321		HAN-DLI	0:10	2:00	1:50	0:25	1234567	10/Jun	26/Oct								
NEW	30-A321		DLI-HAN	2:25	4:15	1:50	1:45	1234567	10/Jun	26/Oct								
																		
																		
28	31-A321	VJ356	SGN-BMV	5:20	6:20	1:00	0:25	1234567	31/Mar	26/Oct								
28	31-A321	VJ357	BMV-SGN	6:45	7:45	1:00	0:30	1234567	31/Mar	26/Oct								
28	31-A321	VJ811	SGN-SIN	8:55	12:05	2:05	1:00	1234567	31/Mar	26/Oct								
28	31-A321	VJ812	SIN-SGN	13:05	14:10	2:05	0:30	1234567	31/Mar	26/Oct								
28	31-A321	VJ876	SGN-HKG	15:10	18:50	2:40	1:00	1357	31/Mar	25/Oct								
28	31-A321	VJ877	HKG-SGN	19:50	21:30	2:40	0:30	1357	31/Mar	25/Oct								
28	31-A321	VJ2552	SGN-DYG	15:25	20:30	4:05	1:00	247	31/Mar	26/Oct								
28	31-A321	VJ2553	DYG-SGN	21:30	1:00	4:30	0:30	247	31/Mar	26/Oct								
																		
																		
29	32-A321	VJ813	SGN-SIN	7:10	10:15	2:05	1:00	1234567	31/Mar	26/Oct								
29	32-A321	VJ970	SIN-DAD	11:15	13:10	2:40	2:20	1234567	31/Mar	26/Oct								
